Spot index;x;y
1633240;5464.734375;-29104.533203125
1633241;5484.734375;-29104.533203125
1633242;5504.734375;-29104.533203125
1633243;5524.734375;-29104.533203125
1633244;5544.734375;-29104.533203125
1633245;5564.734375;-29104.533203125
1633246;5584.734375;-29104.533203125
1633247;5604.734375;-29104.533203125
1633248;5624.734375;-29104.533203125
1633249;5644.734375;-29104.533203125
1633250;5664.734375;-29104.533203125
1633251;5684.734375;-29104.533203125
1633252;5704.734375;-29104.533203125
1633253;5724.734375;-29104.533203125
1633254;5744.734375;-29104.533203125
1633255;5764.734375;-29104.533203125
1633256;5784.734375;-29104.533203125
1633257;5804.734375;-29104.533203125
1633258;5824.734375;-29104.533203125
1633259;5844.734375;-29104.533203125
1633260;5864.734375;-29104.533203125
1633261;5884.734375;-29104.533203125
1633262;5904.734375;-29104.533203125
1633263;5924.734375;-29104.533203125
1633264;5944.734375;-29104.533203125
1633265;5964.734375;-29104.533203125
1633266;5984.734375;-29104.533203125
1633267;6004.734375;-29104.533203125
1633268;5264.734375;-29124.533203125
1633269;5284.734375;-29124.533203125
1633270;5304.734375;-29124.533203125
1633271;5324.734375;-29124.533203125
1633272;5344.734375;-29124.533203125
1633273;5364.734375;-29124.533203125
1633274;5384.734375;-29124.533203125
1633275;5404.734375;-29124.533203125
1633276;5424.734375;-29124.533203125
1633277;5444.734375;-29124.533203125
1633278;5464.734375;-29124.533203125
1633279;5484.734375;-29124.533203125
1633280;5504.734375;-29124.533203125
1633281;5524.734375;-29124.533203125
1633282;5544.734375;-29124.533203125
1633283;5564.734375;-29124.533203125
1633284;5584.734375;-29124.533203125
1633285;5604.734375;-29124.533203125
1633286;5624.734375;-29124.533203125
1633287;5644.734375;-29124.533203125
1633288;5664.734375;-29124.533203125
1633289;5684.734375;-29124.533203125
1633290;5704.734375;-29124.533203125
1633291;5724.734375;-29124.533203125
1633292;5744.734375;-29124.533203125
1633293;5764.734375;-29124.533203125
1633294;5784.734375;-29124.533203125
1633295;5804.734375;-29124.533203125
1633296;5824.734375;-29124.533203125
1633297;5844.734375;-29124.533203125
1633298;5864.734375;-29124.533203125
